prompt,hissab_expressions
"What is 25 plus 78?","25+78"
"Subtract 512 from 1024.","1024-512"
"Multiply 24 by 6.","24*6"
"Divide 1000 by 25.","1000/25"
"What is 7 factorial?","7!"
"Find 12 mod 5.","12 mod 5"
"What is the absolute value of -456?","abs(-456)"
"What is 9 squared?","9^2"
"Calculate the cube root of 729.","729^(1/3)"
"Find the natural logarithm of 50.","log 50"
"Find log base 2 of 256.","log2 256"
"Compute log base 10 of 1000.","log10 1000"
"What is 15% of 250?","15% of 250"
"Apply a 20% discount to 500 dollars.","$500 - 20%"
"Add 10% to 450.","10% + 450"
"If 40% of a number is 200, what is the original number?","40% of what is 200"
"Convert 15 kilometers to miles.","15 kilometers to miles"
"How many inches are in 3 feet?","3 feet to inches"
"Convert 5 liters to gallons.","5 liters to gallons"
"Convert 100 Fahrenheit to Celsius.","100 Fahrenheit to Celsius"
"Convert 256 grams to ounces.","256 grams to ounces"
"Convert 45 degrees to radians.","45 degrees to radians"
"Convert 10 terabytes to gigabytes.","10 terabytes to gigabytes"
"Find the maximum of these numbers: 5, 12, 48, 3, and 102.","max(5, 12, 48, 3, 102)"
"Find the minimum of these numbers: 78, 102, 5, 9, 12.","min(78, 102, 5, 9, 12)"
"Find the least common multiple of 8, 12, and 20.","lcm(8, 12, 20)"
"Find the greatest common divisor of 48 and 60.","gcd(48, 60)"
"How many ways can I choose 4 students from a class of 10?","10 comb 4"
"In how many ways can I arrange 5 different books on a shelf?","5!"
"Find the average of 45, 56, 67, 78, 89.","avg(45, 56, 67, 78, 89)"
"Find the standard deviation of 12, 15, 18, 25, 30.","standard deviation(12, 15, 18, 25, 30)"
"Calculate the variance of 45, 56, 67, 78, 89.","variance(45, 56, 67, 78, 89)"
"Find the median of 22, 34, 50, 12, 48, 78.","median(22, 34, 50, 12, 48, 78)"
"What is the sine of 30 degrees?","sin 30 degrees"
"Calculate cosine of 60 degrees.","cos 60 degrees"
"Compute tangent of π/4 radians.","tan (pi/4) radians"
"What date is 10 days after January 1, 2023?","January 1 2023 + 10 days"
"How many days are between July 4, 2022, and December 25, 2022?","July 4 2022 - December 25 2022 to days"
"If I was born on March 5, 1995, how old am I today?","today - March 5 1995 to years"
"Convert 1672531199 to human-readable date.","1672531199 to human date"
"Convert the binary number 101101 to decimal.","0b101101 to decimal"
"Convert 0x3FA to binary.","0x3FA to binary"
"Add 0b1010 and 0x1F4 and convert the result to octal.","(0b1010 + 0x1F4) to octal"
"Perform a bitwise AND on 45 and 23.","45 & 23"
"Compute 56 OR 89.","56 | 89"
"Perform a left shift on 200 by 3 bits.","200 << 3"
"Convert the hex color #ff5733 to RGB format.","#ff5733 to rgb color"
"Mix the colors red and blue.","red + blue"
"Find the complementary color of yellow.","~yellow"
"Find the darker shade of #aabbcc by 20%.","#aabbcc + 1.2"
"Calculate 123 plus 456 minus 78.","123+456-78"
"What is 10 multiplied by 5 divided by 2?","10*5/2"
"What is 2 to the power of 8?","2^8"
"Find the square root of 625.","625^(1/2)"
"Calculate 7 factorial.","7!"
"What is 17 modulo 5?","17 mod 5"
"Find the absolute value of negative 345.","abs(-345)"
"What is 30 percent of 500?","30% of 500"
"Calculate a discount of 20% from 800.","800 - 20%"
"What is 60 percent plus 200?","60% + 200"
"25% of what is 100?","25% of what is 100"
"Convert 10 miles to kilometers.","10 miles to kilometers"
"How many yards, feet, and inches are in 5 miles?","5 miles to yards, feet, inches"
"Add 5 kilograms to 10 pounds.","5 kilograms + 10 pounds"
"convert 20 litre to gallon.","20 litre to gallon"
"convert 30 degree celsius to fahrenheit.","30 degree celsius to fahrenheit"
"convert 1 ton to gram.","1 ton to gram"
"convert 180 degree to radian.","180 degree to radian"
"convert 8 byte to bit.","8 byte to bit"
"convert 2 year to minute.","2 year to minute"
"convert 10 mega meter to kilometer.","10 mega meter to kilometer"
"What is the maximum of 100, 200, and 150?","max(100, 200, 150)"
"What is the minimum of 100, 200, and 150?","min(100, 200, 150)"
